sensor_name,exgauster_number,path,prop_name,type
SM_Exgauster\\[2:5],0,/bearing/1/vibration/axial,value,analog
SM_Exgauster\\[2:142],0,/bearing/1/vibration/axial,alarm_max,analog
SM_Exgauster\\[2:154],0,/bearing/1/vibration/axial,alarm_min,analog
SM_Exgauster\\[2:166],0,/bearing/1/vibration/axial,warning_max,analog
SM_Exgauster\\[2:178],0,/bearing/1/vibration/axial,warning_min,analog
SM_Exgauster\\[2:3],0,/bearing/1/vibration/horizontal,value,analog
SM_Exgauster\\[2:140],0,/bearing/1/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[2:152],0,/bearing/1/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[2:164],0,/bearing/1/vibration/horizontal,warning_max,analog
SM_Exgauster\\[2:176],0,/bearing/1/vibration/horizontal,warning_min,analog
SM_Exgauster\\[2:4],0,/bearing/1/vibration/vertical,value,analog
SM_Exgauster\\[2:141],0,/bearing/1/vibration/vertical,alarm_max,analog
SM_Exgauster\\[2:153],0,/bearing/1/vibration/vertical,alarm_min,analog
SM_Exgauster\\[2:165],0,/bearing/1/vibration/vertical,warning_max,analog
SM_Exgauster\\[2:177],0,/bearing/1/vibration/vertical,warning_min,analog
SM_Exgauster\\[2:29],0,/bearing/2/heating_temperature,temperature,analog
SM_Exgauster\\[2:67],0,/bearing/2/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:76],0,/bearing/2/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:85],0,/bearing/2/heating_temperature,warning_max,analog
SM_Exgauster\\[2:94],0,/bearing/2/heating_temperature,warning_min,analog
SM_Exgauster\\[2:30],0,/bearing/3/heating_temperature,temperature,analog
SM_Exgauster\\[2:68],0,/bearing/3/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:77],0,/bearing/3/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:86],0,/bearing/3/heating_temperature,warning_max,analog
SM_Exgauster\\[2:95],0,/bearing/3/heating_temperature,warning_min,analog
SM_Exgauster\\[2:31],0,/bearing/4/heating_temperature,temperature,analog
SM_Exgauster\\[2:69],0,/bearing/4/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:78],0,/bearing/4/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:87],0,/bearing/4/heating_temperature,warning_max,analog
SM_Exgauster\\[2:96],0,/bearing/4/heating_temperature,warning_min,analog
SM_Exgauster\\[2:32],0,/bearing/5/heating_temperature,temperature,analog
SM_Exgauster\\[2:70],0,/bearing/5/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:79],0,/bearing/5/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:88],0,/bearing/5/heating_temperature,warning_max,analog
SM_Exgauster\\[2:97],0,/bearing/5/heating_temperature,warning_min,analog
SM_Exgauster\\[2:33],0,/bearing/6/heating_temperature,temperature,analog
SM_Exgauster\\[2:71],0,/bearing/6/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:80],0,/bearing/6/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:89],0,/bearing/6/heating_temperature,warning_max,analog
SM_Exgauster\\[2:98],0,/bearing/6/heating_temperature,warning_min,analog
SM_Exgauster\\[2:8],0,/bearing/6/vibration/axial,value,analog
SM_Exgauster\\[2:145],0,/bearing/6/vibration/axial,alarm_max,analog
SM_Exgauster\\[2:157],0,/bearing/6/vibration/axial,alarm_min,analog
SM_Exgauster\\[2:169],0,/bearing/6/vibration/axial,warning_max,analog
SM_Exgauster\\[2:181],0,/bearing/6/vibration/axial,warning_min,analog
SM_Exgauster\\[2:6],0,/bearing/6/vibration/horizontal,value,analog
SM_Exgauster\\[2:143],0,/bearing/6/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[2:155],0,/bearing/6/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[2:167],0,/bearing/6/vibration/horizontal,warning_max,analog
SM_Exgauster\\[2:179],0,/bearing/6/vibration/horizontal,warning_min,analog
SM_Exgauster\\[2:7],0,/bearing/6/vibration/vertical,value,analog
SM_Exgauster\\[2:144],0,/bearing/6/vibration/vertical,alarm_max,analog
SM_Exgauster\\[2:156],0,/bearing/6/vibration/vertical,alarm_min,analog
SM_Exgauster\\[2:168],0,/bearing/6/vibration/vertical,warning_max,analog
SM_Exgauster\\[2:180],0,/bearing/6/vibration/vertical,warning_min,analog
SM_Exgauster\\[2:34],0,/bearing/7/heating_temperature,temperature,analog
SM_Exgauster\\[2:72],0,/bearing/7/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:81],0,/bearing/7/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:90],0,/bearing/7/heating_temperature,warning_max,analog
SM_Exgauster\\[2:99],0,/bearing/7/heating_temperature,warning_min,analog
SM_Exgauster\\[2:11],0,/bearing/7/vibration/axial,value,analog
SM_Exgauster\\[2:148],0,/bearing/7/vibration/axial,alarm_max,analog
SM_Exgauster\\[2:160],0,/bearing/7/vibration/axial,alarm_min,analog
SM_Exgauster\\[2:172],0,/bearing/7/vibration/axial,warning_max,analog
SM_Exgauster\\[2:184],0,/bearing/7/vibration/axial,warning_min,analog
SM_Exgauster\\[2:9],0,/bearing/7/vibration/horizontal,value,analog
SM_Exgauster\\[2:146],0,/bearing/7/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[2:158],0,/bearing/7/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[2:170],0,/bearing/7/vibration/horizontal,warning_max,analog
SM_Exgauster\\[2:182],0,/bearing/7/vibration/horizontal,warning_min,analog
SM_Exgauster\\[2:10],0,/bearing/7/vibration/vertical,value,analog
SM_Exgauster\\[2:147],0,/bearing/7/vibration/vertical,alarm_max,analog
SM_Exgauster\\[2:159],0,/bearing/7/vibration/vertical,alarm_min,analog
SM_Exgauster\\[2:171],0,/bearing/7/vibration/vertical,warning_max,analog
SM_Exgauster\\[2:183],0,/bearing/7/vibration/vertical,warning_min,analog
SM_Exgauster\\[2:35],0,/bearing/8/heating_temperature,temperature,analog
SM_Exgauster\\[2:73],0,/bearing/8/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:82],0,/bearing/8/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:91],0,/bearing/8/heating_temperature,warning_max,analog
SM_Exgauster\\[2:100],0,/bearing/8/heating_temperature,warning_min,analog
SM_Exgauster\\[2:42],0,/cooler/oil,temperature_after,analog
SM_Exgauster\\[2:41],0,/cooler/oil,temperature_before,analog
SM_Exgauster\\[2:37],0,/cooler/water,temperature_after,analog
SM_Exgauster\\[2:36],0,/cooler/water,temperature_before,analog
SM_Exgauster\\[2:24],0,,temperature_before,analog
SM_Exgauster\\[2:61],0,,underpressure_before,analog
SM_Exgauster\\[4.1],0,,gas_valve_closed,digital
SM_Exgauster\\[4.2],0,,gas_valve_open,digital
SM_Exgauster\\[4:6],0,,gas_valve_position,analog
SM_Exgauster\\[4:2],0,,rotor_current,analog
SM_Exgauster\\[4:4],0,,rotor_voltage,analog
SM_Exgauster\\[4:3],0,,stator_current,analog
SM_Exgauster\\[4:5],0,,stator_voltage,analog
SM_Exgauster\\[4:0],0,,oil_level,analog
SM_Exgauster\\[4:1],0,,oil_pressure,analog
SM_Exgauster\\[2.0],0,,work,digital
SM_Exgauster\\[2:43],1,/bearing/0/heating_temperature,temperature,analog
SM_Exgauster\\[2:101],1,/bearing/0/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:110],1,/bearing/0/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:119],1,/bearing/0/heating_temperature,warning_max,analog
SM_Exgauster\\[2:128],1,/bearing/0/heating_temperature,warning_min,analog
SM_Exgauster\\[2:14],1,/bearing/0/vibration/axial,value,analog
SM_Exgauster\\[2:187],1,/bearing/0/vibration/axial,alarm_max,analog
SM_Exgauster\\[2:199],1,/bearing/0/vibration/axial,alarm_min,analog
SM_Exgauster\\[2:211],1,/bearing/0/vibration/axial,warning_max,analog
SM_Exgauster\\[2:223],1,/bearing/0/vibration/axial,warning_min,analog
SM_Exgauster\\[2:12],1,/bearing/0/vibration/horizontal,value,analog
SM_Exgauster\\[2:185],1,/bearing/0/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[2:197],1,/bearing/0/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[2:209],1,/bearing/0/vibration/horizontal,warning_max,analog
SM_Exgauster\\[2:221],1,/bearing/0/vibration/horizontal,warning_min,analog
SM_Exgauster\\[2:13],1,/bearing/0/vibration/vertical,value,analog
SM_Exgauster\\[2:186],1,/bearing/0/vibration/vertical,alarm_max,analog
SM_Exgauster\\[2:198],1,/bearing/0/vibration/vertical,alarm_min,analog
SM_Exgauster\\[2:210],1,/bearing/0/vibration/vertical,warning_max,analog
SM_Exgauster\\[2:222],1,/bearing/0/vibration/vertical,warning_min,analog
SM_Exgauster\\[2:44],1,/bearing/1/heating_temperature,temperature,analog
SM_Exgauster\\[2:102],1,/bearing/1/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:111],1,/bearing/1/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:120],1,/bearing/1/heating_temperature,warning_max,analog
SM_Exgauster\\[2:129],1,/bearing/1/heating_temperature,warning_min,analog
SM_Exgauster\\[2:17],1,/bearing/1/vibration/axial,value,analog
SM_Exgauster\\[2:190],1,/bearing/1/vibration/axial,alarm_max,analog
SM_Exgauster\\[2:202],1,/bearing/1/vibration/axial,alarm_min,analog
SM_Exgauster\\[2:214],1,/bearing/1/vibration/axial,warning_max,analog
SM_Exgauster\\[2:226],1,/bearing/1/vibration/axial,warning_min,analog
SM_Exgauster\\[2:15],1,/bearing/1/vibration/horizontal,value,analog
SM_Exgauster\\[2:188],1,/bearing/1/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[2:200],1,/bearing/1/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[2:212],1,/bearing/1/vibration/horizontal,warning_max,analog
SM_Exgauster\\[2:224],1,/bearing/1/vibration/horizontal,warning_min,analog
SM_Exgauster\\[2:16],1,/bearing/1/vibration/vertical,value,analog
SM_Exgauster\\[2:189],1,/bearing/1/vibration/vertical,alarm_max,analog
SM_Exgauster\\[2:201],1,/bearing/1/vibration/vertical,alarm_min,analog
SM_Exgauster\\[2:213],1,/bearing/1/vibration/vertical,warning_max,analog
SM_Exgauster\\[2:225],1,/bearing/1/vibration/vertical,warning_min,analog
SM_Exgauster\\[2:45],1,/bearing/2/heating_temperature,temperature,analog
SM_Exgauster\\[2:103],1,/bearing/2/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:112],1,/bearing/2/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:121],1,/bearing/2/heating_temperature,warning_max,analog
SM_Exgauster\\[2:130],1,/bearing/2/heating_temperature,warning_min,analog
SM_Exgauster\\[2:47],1,/bearing/3/heating_temperature,temperature,analog
SM_Exgauster\\[2:104],1,/bearing/3/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:113],1,/bearing/3/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:122],1,/bearing/3/heating_temperature,warning_max,analog
SM_Exgauster\\[2:131],1,/bearing/3/heating_temperature,warning_min,analog
SM_Exgauster\\[2:48],1,/bearing/4/heating_temperature,temperature,analog
SM_Exgauster\\[2:105],1,/bearing/4/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:114],1,/bearing/4/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:123],1,/bearing/4/heating_temperature,warning_max,analog
SM_Exgauster\\[2:132],1,/bearing/4/heating_temperature,warning_min,analog
SM_Exgauster\\[2:49],1,/bearing/5/heating_temperature,temperature,analog
SM_Exgauster\\[2:106],1,/bearing/5/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:115],1,/bearing/5/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:124],1,/bearing/5/heating_temperature,warning_max,analog
SM_Exgauster\\[2:133],1,/bearing/5/heating_temperature,warning_min,analog
SM_Exgauster\\[2:50],1,/bearing/6/heating_temperature,temperature,analog
SM_Exgauster\\[2:107],1,/bearing/6/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:116],1,/bearing/6/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:125],1,/bearing/6/heating_temperature,warning_max,analog
SM_Exgauster\\[2:134],1,/bearing/6/heating_temperature,warning_min,analog
SM_Exgauster\\[2:20],1,/bearing/6/vibration/axial,value,analog
SM_Exgauster\\[2:193],1,/bearing/6/vibration/axial,alarm_max,analog
SM_Exgauster\\[2:205],1,/bearing/6/vibration/axial,alarm_min,analog
SM_Exgauster\\[2:217],1,/bearing/6/vibration/axial,warning_max,analog
SM_Exgauster\\[2:229],1,/bearing/6/vibration/axial,warning_min,analog
SM_Exgauster\\[2:18],1,/bearing/6/vibration/horizontal,value,analog
SM_Exgauster\\[2:191],1,/bearing/6/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[2:203],1,/bearing/6/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[2:215],1,/bearing/6/vibration/horizontal,warning_max,analog
SM_Exgauster\\[2:227],1,/bearing/6/vibration/horizontal,warning_min,analog
SM_Exgauster\\[2:19],1,/bearing/6/vibration/vertical,value,analog
SM_Exgauster\\[2:192],1,/bearing/6/vibration/vertical,alarm_max,analog
SM_Exgauster\\[2:204],1,/bearing/6/vibration/vertical,alarm_min,analog
SM_Exgauster\\[2:216],1,/bearing/6/vibration/vertical,warning_max,analog
SM_Exgauster\\[2:228],1,/bearing/6/vibration/vertical,warning_min,analog
SM_Exgauster\\[2:51],1,/bearing/7/heating_temperature,temperature,analog
SM_Exgauster\\[2:108],1,/bearing/7/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:117],1,/bearing/7/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:126],1,/bearing/7/heating_temperature,warning_max,analog
SM_Exgauster\\[2:135],1,/bearing/7/heating_temperature,warning_min,analog
SM_Exgauster\\[2:23],1,/bearing/7/vibration/axial,value,analog
SM_Exgauster\\[2:196],1,/bearing/7/vibration/axial,alarm_max,analog
SM_Exgauster\\[2:208],1,/bearing/7/vibration/axial,alarm_min,analog
SM_Exgauster\\[2:220],1,/bearing/7/vibration/axial,warning_max,analog
SM_Exgauster\\[2:232],1,/bearing/7/vibration/axial,warning_min,analog
SM_Exgauster\\[2:21],1,/bearing/7/vibration/horizontal,value,analog
SM_Exgauster\\[2:194],1,/bearing/7/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[2:206],1,/bearing/7/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[2:218],1,/bearing/7/vibration/horizontal,warning_max,analog
SM_Exgauster\\[2:230],1,/bearing/7/vibration/horizontal,warning_min,analog
SM_Exgauster\\[2:22],1,/bearing/7/vibration/vertical,value,analog
SM_Exgauster\\[2:195],1,/bearing/7/vibration/vertical,alarm_max,analog
SM_Exgauster\\[2:207],1,/bearing/7/vibration/vertical,alarm_min,analog
SM_Exgauster\\[2:219],1,/bearing/7/vibration/vertical,warning_max,analog
SM_Exgauster\\[2:231],1,/bearing/7/vibration/vertical,warning_min,analog
SM_Exgauster\\[2:52],1,/bearing/8/heating_temperature,temperature,analog
SM_Exgauster\\[2:109],1,/bearing/8/heating_temperature,alarm_max,analog
SM_Exgauster\\[2:118],1,/bearing/8/heating_temperature,alarm_min,analog
SM_Exgauster\\[2:127],1,/bearing/8/heating_temperature,warning_max,analog
SM_Exgauster\\[2:136],1,/bearing/8/heating_temperature,warning_min,analog
SM_Exgauster\\[2:60],1,/cooler/oil,temperature_after,analog
SM_Exgauster\\[2:59],1,/cooler/oil,temperature_before,analog
SM_Exgauster\\[2:54],1,/cooler/water,temperature_after,analog
SM_Exgauster\\[2:53],1,/cooler/water,temperature_before,analog
SM_Exgauster\\[2:25],1,,temperature_before,analog
SM_Exgauster\\[2:62],1,,underpressure_before,analog
SM_Exgauster\\[4.6],1,,gas_valve_closed,digital
SM_Exgauster\\[4.7],1,,gas_valve_open,digital
SM_Exgauster\\[4:13],1,,gas_valve_position,analog
SM_Exgauster\\[4:9],1,,rotor_current,analog
SM_Exgauster\\[4:11],1,,rotor_voltage,analog
SM_Exgauster\\[4:10],1,,stator_current,analog
SM_Exgauster\\[4:12],1,,stator_voltage,analog
SM_Exgauster\\[4:7],1,,oil_level,analog
SM_Exgauster\\[4:8],1,,oil_pressure,analog
SM_Exgauster\\[2.1],1,,work,digital
SM_Exgauster\\[0:27],2,/bearing/0/heating_temperature,temperature,analog
SM_Exgauster\\[0:63],2,/bearing/0/heating_temperature,alarm_max,analog
SM_Exgauster\\[0:72],2,/bearing/0/heating_temperature,alarm_min,analog
SM_Exgauster\\[0:81],2,/bearing/0/heating_temperature,warning_max,analog
SM_Exgauster\\[0:90],2,/bearing/0/heating_temperature,warning_min,analog
SM_Exgauster\\[0:2],2,/bearing/0/vibration/axial,value,analog
SM_Exgauster\\[0:137],2,/bearing/0/vibration/axial,alarm_max,analog
SM_Exgauster\\[0:149],2,/bearing/0/vibration/axial,alarm_min,analog
SM_Exgauster\\[0:161],2,/bearing/0/vibration/axial,warning_max,analog
SM_Exgauster\\[0:173],2,/bearing/0/vibration/axial,warning_min,analog
SM_Exgauster\\[0:0],2,/bearing/0/vibration/horizontal,value,analog
SM_Exgauster\\[0:135],2,/bearing/0/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[0:147],2,/bearing/0/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[0:159],2,/bearing/0/vibration/horizontal,warning_max,analog
SM_Exgauster\\[0:171],2,/bearing/0/vibration/horizontal,warning_min,analog
SM_Exgauster\\[0:1],2,/bearing/0/vibration/vertical,value,analog
SM_Exgauster\\[0:136],2,/bearing/0/vibration/vertical,alarm_max,analog
SM_Exgauster\\[0:148],2,/bearing/0/vibration/vertical,alarm_min,analog
SM_Exgauster\\[0:160],2,/bearing/0/vibration/vertical,warning_max,analog
SM_Exgauster\\[0:172],2,/bearing/0/vibration/vertical,warning_min,analog
SM_Exgauster\\[0:28],2,/bearing/1/heating_temperature,temperature,analog
SM_Exgauster\\[0:64],2,/bearing/1/heating_temperature,alarm_max,analog
SM_Exgauster\\[0:73],2,/bearing/1/heating_temperature,alarm_min,analog
SM_Exgauster\\[0:82],2,/bearing/1/heating_temperature,warning_max,analog
SM_Exgauster\\[0:91],2,/bearing/1/heating_temperature,warning_min,analog
SM_Exgauster\\[0:5],2,/bearing/1/vibration/axial,value,analog
SM_Exgauster\\[0:140],2,/bearing/1/vibration/axial,alarm_max,analog
SM_Exgauster\\[0:152],2,/bearing/1/vibration/axial,alarm_min,analog
SM_Exgauster\\[0:164],2,/bearing/1/vibration/axial,warning_max,analog
SM_Exgauster\\[0:176],2,/bearing/1/vibration/axial,warning_min,analog
SM_Exgauster\\[0:3],2,/bearing/1/vibration/horizontal,value,analog
SM_Exgauster\\[0:138],2,/bearing/1/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[0:150],2,/bearing/1/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[0:162],2,/bearing/1/vibration/horizontal,warning_max,analog
SM_Exgauster\\[0:174],2,/bearing/1/vibration/horizontal,warning_min,analog
SM_Exgauster\\[0:4],2,/bearing/1/vibration/vertical,value,analog
SM_Exgauster\\[0:139],2,/bearing/1/vibration/vertical,alarm_max,analog
SM_Exgauster\\[0:151],2,/bearing/1/vibration/vertical,alarm_min,analog
SM_Exgauster\\[0:163],2,/bearing/1/vibration/vertical,warning_max,analog
SM_Exgauster\\[0:175],2,/bearing/1/vibration/vertical,warning_min,analog
SM_Exgauster\\[0:29],2,/bearing/2/heating_temperature,temperature,analog
SM_Exgauster\\[0:65],2,/bearing/2/heating_temperature,alarm_max,analog
SM_Exgauster\\[0:74],2,/bearing/2/heating_temperature,alarm_min,analog
SM_Exgauster\\[0:83],2,/bearing/2/heating_temperature,warning_max,analog
SM_Exgauster\\[0:92],2,/bearing/2/heating_temperature,warning_min,analog
SM_Exgauster\\[0:30],2,/bearing/3/heating_temperature,temperature,analog
SM_Exgauster\\[0:66],2,/bearing/3/heating_temperature,alarm_max,analog
SM_Exgauster\\[0:75],2,/bearing/3/heating_temperature,alarm_min,analog
SM_Exgauster\\[0:84],2,/bearing/3/heating_temperature,warning_max,analog
SM_Exgauster\\[0:93],2,/bearing/3/heating_temperature,warning_min,analog
SM_Exgauster\\[0:31],2,/bearing/4/heating_temperature,temperature,analog
SM_Exgauster\\[0:67],2,/bearing/4/heating_temperature,alarm_max,analog
SM_Exgauster\\[0:76],2,/bearing/4/heating_temperature,alarm_min,analog
SM_Exgauster\\[0:85],2,/bearing/4/heating_temperature,warning_max,analog
SM_Exgauster\\[0:94],2,/bearing/4/heating_temperature,warning_min,analog
SM_Exgauster\\[0:32],2,/bearing/5/heating_temperature,temperature,analog
SM_Exgauster\\[0:68],2,/bearing/5/heating_temperature,alarm_max,analog
SM_Exgauster\\[0:77],2,/bearing/5/heating_temperature,alarm_min,analog
SM_Exgauster\\[0:86],2,/bearing/5/heating_temperature,warning_max,analog
SM_Exgauster\\[0:95],2,/bearing/5/heating_temperature,warning_min,analog
SM_Exgauster\\[0:33],2,/bearing/6/heating_temperature,temperature,analog
SM_Exgauster\\[0:69],2,/bearing/6/heating_temperature,alarm_max,analog
SM_Exgauster\\[0:78],2,/bearing/6/heating_temperature,alarm_min,analog
SM_Exgauster\\[0:87],2,/bearing/6/heating_temperature,warning_max,analog
SM_Exgauster\\[0:96],2,/bearing/6/heating_temperature,warning_min,analog
SM_Exgauster\\[0:8],2,/bearing/6/vibration/axial,value,analog
SM_Exgauster\\[0:143],2,/bearing/6/vibration/axial,alarm_max,analog
SM_Exgauster\\[0:155],2,/bearing/6/vibration/axial,alarm_min,analog
SM_Exgauster\\[0:167],2,/bearing/6/vibration/axial,warning_max,analog
SM_Exgauster\\[0:179],2,/bearing/6/vibration/axial,warning_min,analog
SM_Exgauster\\[0:6],2,/bearing/6/vibration/horizontal,value,analog
SM_Exgauster\\[0:141],2,/bearing/6/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[0:153],2,/bearing/6/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[0:165],2,/bearing/6/vibration/horizontal,warning_max,analog
SM_Exgauster\\[0:177],2,/bearing/6/vibration/horizontal,warning_min,analog
SM_Exgauster\\[0:7],2,/bearing/6/vibration/vertical,value,analog
SM_Exgauster\\[0:142],2,/bearing/6/vibration/vertical,alarm_max,analog
SM_Exgauster\\[0:154],2,/bearing/6/vibration/vertical,alarm_min,analog
SM_Exgauster\\[0:166],2,/bearing/6/vibration/vertical,warning_max,analog
SM_Exgauster\\[0:178],2,/bearing/6/vibration/vertical,warning_min,analog
SM_Exgauster\\[0:34],2,/bearing/7/heating_temperature,temperature,analog
SM_Exgauster\\[0:70],2,/bearing/7/heating_temperature,alarm_max,analog
SM_Exgauster\\[0:79],2,/bearing/7/heating_temperature,alarm_min,analog
SM_Exgauster\\[0:88],2,/bearing/7/heating_temperature,warning_max,analog
SM_Exgauster\\[0:97],2,/bearing/7/heating_temperature,warning_min,analog
SM_Exgauster\\[0:11],2,/bearing/7/vibration/axial,value,analog
SM_Exgauster\\[0:146],2,/bearing/7/vibration/axial,alarm_max,analog
SM_Exgauster\\[0:158],2,/bearing/7/vibration/axial,alarm_min,analog
SM_Exgauster\\[0:170],2,/bearing/7/vibration/axial,warning_max,analog
SM_Exgauster\\[0:182],2,/bearing/7/vibration/axial,warning_min,analog
SM_Exgauster\\[0:9],2,/bearing/7/vibration/horizontal,value,analog
SM_Exgauster\\[0:144],2,/bearing/7/vibration/horizontal,alarm_max,analog
SM_Exgauster\\[0:156],2,/bearing/7/vibration/horizontal,alarm_min,analog
SM_Exgauster\\[0:168],2,/bearing/7/vibration/horizontal,warning_max,analog
SM_Exgauster\\[0:180],2,/bearing/7/vibration/horizontal,warning_min,analog
SM_Exgauster\\[0:10],2,/bearing/7/vibration/vertical,value,analog
SM_Exgauster\\[0:145],2,/bearing/7/vibration/vertical,alarm_max,analog
SM_Exgauster\\[0:157],2,/bearing/7/vibration/vertical,alarm_min,analog
SM_Exgauster\\[0:169],2,/bearing/7/vibration/vertical,warning_max,analog
SM_Exgauster\\[0:181],2,/bearing/7/vibration/vertical,warning_min,analog
SM_Exgauster\\[0:35],2,/bearing/8/heating_temperature,temperature,analog
SM_Exgauster\\[0:71],2,/bearing/8/heating_temperature,alarm_max,analog
SM_Exgauster\\[0:80],2,/bearing/8/heating_temperature,alarm_min,analog
SM_Exgauster\\[0:89],2,/bearing/8/heating_temperature,warning_max,analog
SM_Exgauster\\[0:98],2,/bearing/8/heating_temperature,warning_min,analog
SM_Exgauster\\[0:42],2,/cooler/oil,temperature_after,analog
SM_Exgauster\\[0:41],2,/cooler/oil,temperature_before,analog
SM_Exgauster\\[0:37],2,/cooler/water,temperature_after,analog
SM_Exgauster\\[0:36],2,/cooler/water,temperature_before,analog
SM_Exgauster\\[0:24],2,,temperature_before,analog
